city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Ahmedabad,,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,110,,12,,10,43,3,12,,,,,,Realtime
Ahmedabad,,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,61,72,,3,,2,22,0,24,,,,,,Realtime
Ahmedabad,,"Gyaspur, Ahmedabad - IITM",22.977134,72.553024,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,29,94,,11,,24,49,7,12,,,,,,Realtime
Delhi,,"Anand Vihar, Delhi - DPCC",28.647622,77.315809,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,54,51,,28,,8,89,19,7,,,,,,Realtime
Delhi,,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,21,36,,16,,10,42,11,6,,,,,,Realtime
Delhi,,"Dwarka-Sector 8, Delhi - DPCC",28.5710274,77.0719006,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,13,,10,35,16,20,,,,,,Realtime
Delhi,,"IIT Delhi, Delhi - IITM",28.54246,77.191651,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,36,,10,,,35,,26,,,,,,Realtime
Delhi,,"ITO, Delhi - CPCB",28.628624,77.24106,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,22,,56,,4,48,16,39,,,,,,Realtime
Delhi,,"R K Puram, Delhi - DPCC",28.563262,77.186937,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,28,,31,,6,34,42,17,,,,,,Realtime
Delhi,,"North Campus, DU, Delhi - IITM",28.6573814,77.1585447,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,21,,,56,,,69,,44,,,,,,Realtime
Gurugram,,"NISE Gwal Pahari, Gurugram - IITM",28.422681,77.148944,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,16,,,66,,30,,,,,,Realtime
Gurugram,,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,80,53,,14,,,33,3,3,,,,,,Realtime
Gurugram,,"Teri Gram, Gurugram - HSPCB",28.4275,77.1465,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,87,75,,47,,13,19,12,19,,,,,,Realtime
Hisar,,"Urban Estate-II, Hisar - HSPCB",29.14056,75.744941,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,54,,,,,,,,Realtime
Jind,,"Police Lines, Jind - HSPCB",29.307814,76.337619,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,35,,13,,5,47,28,10,,,,,,Realtime
Delhi,,"Rohini, Delhi - DPCC",28.732528,77.11992,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,20,28,,11,,13,51,6,4,,,,,,Realtime
Delhi,,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,25,,30,,7,34,8,31,,,,,,Realtime
Delhi,,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,59,104,,18,,5,45,6,10,,,,,,Realtime
Delhi,,"Mundka, Delhi - DPCC",28.684678,77.076574,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,29,,82,,9,40,8,5,,,,,,Realtime
Delhi,,"Wazirpur, Delhi - DPCC",28.699793,77.165453,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,26,39,,28,,11,94,9,18,,,,,,Realtime
Kaithal,,"Rishi Nagar, Kaithal - HSPCB",29.8006,76.4155,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,53,65,,22,,5,26,33,11,,,,,,Realtime
Karnal,,"Sector-12, Karnal - HSPCB",29.6953,77.0027,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,54,,14,,8,50,13,7,,,,,,Realtime
Kurukshetra,,"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,43,,73,,15,12,6,32,,,,,,Realtime
Mandikhera,,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9002,76.9938,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,79,,15,,8,33,21,48,,,,,,Realtime
Manesar,,"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,79,79,,41,,15,10,8,22,,,,,,Realtime
Narnaul,,"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,120,94,,21,,8,12,10,28,,,,,,Realtime
Palwal,,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,69,,24,,8,40,24,16,,,,,,Realtime
Panchgaon,,"Amity University, Panchgaon - IITM",28.3153,76.9143,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,31,,26,,18,30,7,42,,,,,,Realtime
Panchkula,,"Sector-6, Panchkula - HSPCB",30.7057778,76.8531805555555,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,,,24,,,19,11,24,,,,,,Realtime
Srinagar,,"Rajbagh, Srinagar - JKPCC",34.066206,74.81982,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,38,,19,,9,17,3,2,,,,,,Realtime
Dhanbad,,"Sardar Patel Nagar, Dhanbad - JSPCB",23.80569,86.44268,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,74,,103,,,8,,24,,,,,,Realtime
Jorapokhar,,"Tata Stadium, Jorapokhar - JSPCB",23.707909,86.41467,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,49,113,,8,,3,40,4,7,,,,,,Realtime
Bagalkot,,"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,51,,10,,1,23,10,18,,,,,,Realtime
Bengaluru,,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,75,,9,,3,,1,19,,,,,,Realtime
Bengaluru,,"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,49,,24,,4,47,19,25,,,,,,Realtime
Bengaluru,,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,38,,18,,1,10,5,29,,,,,,Realtime
Bengaluru,,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,47,,7,,1,18,22,45,,,,,,Realtime
